vendor_id,vendor_name,expected_delivery_date,actual_delivery_date,delay_days,defect_rate,contract_value,affected_customers
V-147,TurboSupply,2025-02-04,2025-02-05,1,0.008,67000,"['C-077']"
V-148,EliteMaterials,2025-01-20,2025-01-21,1,0.013,185000,"['C-078','C-081']"
V-149,ProSource,2025-02-07,2025-02-08,1,0.009,79000,"['C-079']"
V-150,MaxForge,2025-01-24,2025-01-25,1,0.007,172000,"['C-080','C-083']"
V-151,CrystalComponents,2025-02-13,2025-02-14,1,0.01,93000,"['C-082']"
V-152,SpeedForge,2025-02-01,2025-02-02,1,0.012,86000,"['C-084']"
V-153,MasterSupply,2025-01-18,2025-01-19,1,0.006,161000,"['C-085','C-088']"
V-154,DiamondForge,2025-02-10,2025-02-11,1,0.011,75000,"['C-086']"
V-155,PrimeSource,2025-01-27,2025-01-28,1,0.008,154000,"['C-087','C-090']"
V-156,TitanSupply,2025-02-15,2025-02-16,1,0.014,89000,"['C-089']"
V-157,VelocityForge,2025-02-05,2025-02-06,1,0.009,71000,"['C-091']"
V-158,OptimalSupply,2025-01-22,2025-01-23,1,0.007,178000,"['C-092','C-095']"
V-159,MegaForge,2025-02-08,2025-02-09,1,0.013,82000,"['C-093']"
V-160,NexGenSupply,2025-01-30,2025-01-31,1,0.01,166000,"['C-094','C-097']"
V-161,SuperiorSource,2025-02-12,2025-03-02,18,0.102,211000,"['C-026','C-036','C-046','C-056','C-076','C-096']"
V-162,FlashForge,2025-02-03,2025-02-04,1,0.008,68000,"['C-098']"
V-163,RockSolidComponents,2025-01-19,2025-01-20,1,0.012,189000,"['C-099','C-101']"
V-164,ZenithSupply,2025-02-06,2025-02-07,1,0.009,77000,"['C-100']"
V-165,PlatinumForge,2025-01-26,2025-01-27,1,0.011,171000,"['C-102','C-105']"
V-166,ThunderForge,2025-02-14,2025-02-15,1,0.007,94000,"['C-103']"
V-167,AgileForge,2025-02-02,2025-02-03,1,0.014,63000,"['C-104']"
V-168,PowerSupply,2025-01-23,2025-01-24,1,0.008,183000,"['C-106','C-109']"
V-169,QuantumSupply,2025-02-09,2025-02-10,1,0.01,81000,"['C-107']"
V-170,DynamicForge,2025-01-29,2025-01-30,1,0.009,158000,"['C-108','C-111']"
V-171,InfiniteSupply,2025-02-11,2025-02-12,1,0.012,87000,"['C-110']"
V-172,BlazeForge,2025-02-04,2025-02-05,1,0.006,74000,"['C-112']"
V-173,CoreSupply,2025-01-21,2025-01-22,1,0.011,179000,"['C-113','C-116']"
V-174,PeakForge,2025-02-07,2025-02-08,1,0.013,85000,"['C-114']"
V-175,VanguardSupply,2025-01-25,2025-01-26,1,0.008,167000,"['C-115','C-118']"
V-176,OmegaSupply,2025-02-13,2025-02-14,1,0.01,92000,"['C-117']"
V-177,TurboForge,2025-02-01,2025-02-02,1,0.009,69000,"['C-119']"
V-178,EliteSupply,2025-01-28,2025-01-29,1,0.007,186000,"['C-120','C-123']"
V-179,ProForge,2025-02-10,2025-02-11,1,0.014,78000,"['C-121']"
V-180,MaxSupply,2025-01-20,2025-01-21,1,0.012,174000,"['C-122','C-125']"
V-181,CrystalSupply,2025-02-15,2025-03-08,21,0.115,227000,"['C-032','C-046','C-056','C-067','C-076','C-102','C-124']"
V-182,SpeedSupply,2025-02-05,2025-02-06,1,0.008,66000,"['C-126']"
V-183,MasterForge Pro,2025-01-24,2025-01-25,1,0.011,163000,"['C-127','C-130']"
V-184,DiamondSupply Pro,2025-02-08,2025-02-09,1,0.009,76000,"['C-128']"
V-185,PrimeMaterials,2025-01-31,2025-02-01,1,0.013,155000,"['C-129','C-132']"
V-186,TitanComponents,2025-02-12,2025-02-13,1,0.007,88000,"['C-131']"
V-187,VelocityMaterials,2025-02-03,2025-02-04,1,0.01,72000,"['C-133']"
V-188,OptimalForge,2025-01-19,2025-01-20,1,0.012,181000,"['C-134','C-137']"
V-189,MegaMaterials,2025-02-06,2025-02-07,1,0.008,83000,"['C-135']"
V-190,NexGenForge,2025-01-27,2025-01-28,1,0.011,169000,"['C-136','C-139']"
V-191,SuperiorForge,2025-02-14,2025-02-15,1,0.009,91000,"['C-138']"
V-192,FlashMaterials,2025-02-02,2025-02-03,1,0.014,65000,"['C-140']"
V-193,RockSolidForge,2025-01-26,2025-01-27,1,0.006,192000,"['C-141','C-144']"
V-194,ZenithForge,2025-02-09,2025-02-10,1,0.013,79000,"['C-142']"
V-195,PlatinumMaterials,2025-01-23,2025-01-24,1,0.008,173000,"['C-143','C-146']"
V-196,ThunderMaterials,2025-02-11,2025-03-04,21,0.128,241000,"['C-046','C-056','C-067','C-076','C-102','C-121','C-145']"
V-197,AgileMaterials,2025-02-04,2025-02-05,1,0.01,64000,"['C-147']"
V-198,PowerForge Pro,2025-01-21,2025-01-22,1,0.012,187000,"['C-148','C-151']"
V-199,QuantumForge,2025-02-07,2025-02-08,1,0.009,82000,"['C-149']"
V-200,DynamicMaterials,2025-01-30,2025-01-31,1,0.011,160000,"['C-150','C-153']"
V-201,InfiniteForge,2025-02-13,2025-02-14,1,0.007,89000,"['C-152']"
V-202,BlazeMaterials,2025-02-01,2025-02-02,1,0.014,73000,"['C-154']"
V-203,CoreForge,2025-01-25,2025-01-26,1,0.008,182000,"['C-155','C-158']"
V-204,PeakMaterials,2025-02-10,2025-02-11,1,0.01,86000,"['C-156']"
V-205,VanguardForge,2025-01-28,2025-01-29,1,0.012,170000,"['C-157','C-160']"
V-206,OmegaForge,2025-02-15,2025-02-16,1,0.009,93000,"['C-159']"
V-207,TurboMaterials,2025-02-05,2025-02-06,1,0.013,68000,"['C-161']"
V-208,EliteForge,2025-01-20,2025-01-21,1,0.006,188000,"['C-162','C-165']"
V-209,ProMaterials,2025-02-08,2025-02-09,1,0.011,77000,"['C-163']"
V-210,MaxForge Pro,2025-01-24,2025-01-25,1,0.014,175000,"['C-164','C-167']"
V-211,CrystalForge,2025-02-12,2025-02-29,17,0.094,205000,"['C-056','C-067','C-076','C-102','C-137','C-166']"
V-212,SpeedForge Pro,2025-02-03,2025-02-04,1,0.009,67000,"['C-168']"
V-213,MasterMaterials,2025-01-19,2025-01-20,1,0.007,164000,"['C-169','C-172']"
V-214,DiamondForge Pro,2025-02-06,2025-02-07,1,0.013,75000,"['C-170']"
V-215,PrimeForge,2025-01-27,2025-01-28,1,0.01,157000,"['C-171','C-174']"
V-216,TitanForge,2025-02-14,2025-02-15,1,0.008,90000,"['C-173']"
V-217,VelocityComponents,2025-02-02,2025-02-03,1,0.012,71000,"['C-175']"
V-218,OptimalMaterials,2025-01-22,2025-01-23,1,0.011,184000,"['C-176','C-179']"
V-219,MegaComponents,2025-02-09,2025-02-10,1,0.009,84000,"['C-177']"
V-220,NexGenMaterials,2025-01-29,2025-01-30,1,0.014,168000,"['C-178','C-181']"
V-221,SuperiorMaterials Pro,2025-02-11,2025-02-12,1,0.006,92000,"['C-180']"
V-222,FlashComponents,2025-02-04,2025-02-05,1,0.013,66000,"['C-182']"
V-223,RockSolidMaterials,2025-01-26,2025-01-27,1,0.008,193000,"['C-183','C-186']"
V-224,ZenithMaterials,2025-02-07,2025-02-08,1,0.01,78000,"['C-184']"
V-225,PlatinumSupply Pro,2025-01-23,2025-01-24,1,0.012,174000,"['C-185','C-188']"
V-226,ThunderComponents,2025-02-13,2025-02-14,1,0.009,95000,"['C-187']"
V-227,AgileComponents,2025-02-01,2025-02-02,1,0.011,63000,"['C-189']"
V-228,PowerMaterials,2025-01-21,2025-01-22,1,0.007,189000,"['C-190','C-193']"
V-229,QuantumMaterials Pro,2025-02-10,2025-02-11,1,0.014,81000,"['C-191']"
V-230,DynamicComponents,2025-01-28,2025-01-29,1,0.008,161000,"['C-192','C-195']"
V-231,InfiniteMaterials,2025-02-15,2025-03-10,23,0.136,253000,"['C-067','C-076','C-102','C-121','C-145','C-166','C-194']"
V-232,BlazeComponents,2025-02-05,2025-02-06,1,0.012,74000,"['C-196']"
V-233,CoreMaterials Pro,2025-01-20,2025-01-21,1,0.009,183000,"['C-197','C-200']"
V-234,PeakComponents,2025-02-08,2025-02-09,1,0.011,87000,"['C-198']"
V-235,VanguardMaterials,2025-01-25,2025-01-26,1,0.013,171000,"['C-199','C-202']"
V-236,OmegaMaterials,2025-02-12,2025-02-13,1,0.006,94000,"['C-201']"
V-237,TurboComponents,2025-02-03,2025-02-04,1,0.01,69000,"['C-203']"
V-238,EliteMaterials Pro,2025-01-19,2025-01-20,1,0.014,190000,"['C-204','C-207']"
V-239,ProComponents,2025-02-06,2025-02-07,1,0.008,79000,"['C-205']"
V-240,MaxMaterials,2025-01-27,2025-01-28,1,0.012,176000,"['C-206','C-209']"
V-241,CrystalMaterials,2025-02-14,2025-02-15,1,0.009,96000,"['C-208']"
V-242,SpeedMaterials,2025-02-02,2025-02-03,1,0.011,68000,"['C-210']"
V-243,MasterComponents,2025-01-26,2025-01-27,1,0.007,165000,"['C-211','C-214']"
V-244,DiamondMaterials,2025-02-09,2025-02-10,1,0.014,76000,"['C-212']"
V-245,PrimeComponents Pro,2025-01-23,2025-01-24,1,0.013,158000,"['C-213','C-216']"
V-246,TitanMaterials Pro,2025-02-11,2025-02-27,16,0.089,217000,"['C-076','C-102','C-137','C-166','C-194','C-215']"
V-247,VelocityForge Pro,2025-02-04,2025-02-05,1,0.008,72000,"['C-217']"
V-248,OptimalComponents,2025-01-21,2025-01-22,1,0.01,185000,"['C-218','C-221']"
V-249,MegaSupply Pro,2025-02-07,2025-02-08,1,0.012,85000,"['C-219']"
V-250,NexGenComponents Pro,2025-01-30,2025-01-31,1,0.009,169000,"['C-220','C-223']"
V-251,SuperiorComponents,2025-02-13,2025-02-14,1,0.011,93000,"['C-222']"
V-252,FlashForge Pro,2025-02-01,2025-02-02,1,0.006,67000,"['C-224']"
V-253,RockSolidSupply Pro,2025-01-25,2025-01-26,1,0.014,194000,"['C-225','C-228']"
V-254,ZenithComponents,2025-02-10,2025-02-11,1,0.013,80000,"['C-226']"
V-255,PlatinumForge Pro,2025-01-28,2025-01-29,1,0.008,175000,"['C-227','C-230']"
V-256,ThunderSupply Pro,2025-02-15,2025-02-16,1,0.01,97000,"['C-229']"
V-257,AgileSupply Pro,2025-02-05,2025-02-06,1,0.012,64000,"['C-231']"
V-258,PowerComponents,2025-01-20,2025-01-21,1,0.009,191000,"['C-232','C-235']"
V-259,QuantumComponents,2025-02-08,2025-02-09,1,0.011,82000,"['C-233']"
V-260,DynamicSupply Pro,2025-01-24,2025-01-25,1,0.007,162000,"['C-234','C-237']"
V-261,InfiniteComponents Pro,2025-02-12,2025-03-06,22,0.119,239000,"['C-102','C-121','C-145','C-166','C-194','C-215','C-236']"
V-262,BlazeSupply,2025-02-03,2025-02-04,1,0.014,75000,"['C-238']"
V-263,CoreComponents Pro,2025-01-19,2025-01-20,1,0.008,184000,"['C-239','C-242']"
V-264,PeakSupply Pro,2025-02-06,2025-02-07,1,0.013,88000,"['C-240']"
V-265,VanguardComponents,2025-01-27,2025-01-28,1,0.01,172000,"['C-241','C-244']"
V-266,OmegaComponents Pro,2025-02-14,2025-02-15,1,0.012,95000,"['C-243']"
V-267,TurboSupply Pro,2025-02-02,2025-02-03,1,0.009,70000,"['C-245']"
V-268,EliteComponents Pro,2025-01-26,2025-01-27,1,0.006,192000,"['C-246','C-249']"
V-269,ProSupply Pro,2025-02-09,2025-02-10,1,0.011,80000,"['C-247']"
V-270,MaxComponents,2025-01-23,2025-01-24,1,0.014,177000,"['C-248','C-251']"
V-271,CrystalComponents Pro,2025-02-11,2025-02-12,1,0.008,97000,"['C-250']"
V-272,SpeedComponents,2025-02-04,2025-02-05,1,0.013,69000,"['C-252']"
V-273,MasterSupply Pro,2025-01-21,2025-01-22,1,0.009,166000,"['C-253','C-256']"
V-274,DiamondComponents,2025-02-07,2025-02-08,1,0.01,77000,"['C-254']"
V-275,PrimeSupply Pro,2025-01-30,2025-01-31,1,0.012,159000,"['C-255','C-258']"
V-276,TitanComponents Pro,2025-02-13,2025-02-14,1,0.011,94000,"['C-257']"
V-277,VelocitySupply Pro,2025-02-01,2025-02-02,1,0.007,73000,"['C-259']"
V-278,OptimalSupply Pro,2025-01-25,2025-01-26,1,0.014,186000,"['C-260','C-263']"
V-279,MegaForge Ultra,2025-02-10,2025-02-11,1,0.013,86000,"['C-261']"
V-280,NexGenSupply Pro,2025-01-28,2025-01-29,1,0.008,170000,"['C-262','C-265']"
V-281,SuperiorSupply Pro,2025-02-15,2025-03-12,25,0.148,267000,"['C-121','C-145','C-166','C-194','C-215','C-236','C-264','C-277']"
V-282,FlashSupply Pro,2025-02-05,2025-02-06,1,0.01,68000,"['C-266']"
V-283,RockSolidForge Pro,2025-01-20,2025-01-21,1,0.012,195000,"['C-267','C-270']"
V-284,ZenithSupply Pro,2025-02-08,2025-02-09,1,0.009,81000,"['C-268']"
V-285,PlatinumComponents Pro,2025-01-24,2025-01-25,1,0.011,176000,"['C-269','C-272']"
V-286,ThunderForge Pro,2025-02-12,2025-02-13,1,0.014,98000,"['C-271']"
V-287,AgileForge Pro,2025-02-03,2025-02-04,1,0.006,65000,"['C-273']"
V-288,PowerSupply Pro,2025-01-19,2025-01-20,1,0.013,193000,"['C-274','C-277']"
V-289,QuantumSupply Pro,2025-02-06,2025-02-07,1,0.008,83000,"['C-275']"
V-290,DynamicForge Pro,2025-01-27,2025-01-28,1,0.01,163000,"['C-276','C-279']"
V-291,InfiniteSupply Pro,2025-02-14,2025-02-15,1,0.012,96000,"['C-278']"
V-292,BlazeForge Pro,2025-02-02,2025-02-03,1,0.009,76000,"['C-280']"
V-293,CoreSupply Pro,2025-01-26,2025-01-27,1,0.011,185000,"['C-281','C-284']"
V-294,PeakForge Pro,2025-02-09,2025-02-10,1,0.007,89000,"['C-282']"
V-295,VanguardSupply Pro,2025-01-23,2025-01-24,1,0.014,173000,"['C-283','C-286']"
V-296,OmegaSupply Pro,2025-02-11,2025-02-28,17,0.097,223000,"['C-145','C-166','C-194','C-215','C-236','C-285']"
V-297,TurboForge Pro,2025-02-04,2025-02-05,1,0.013,71000,"['C-287']"
V-298,EliteSupply Pro,2025-01-21,2025-01-22,1,0.008,194000,"['C-288','C-291']"
V-299,ProForge Pro,2025-02-07,2025-02-08,1,0.01,81000,"['C-289']"
V-300,MaxSupply Ultra,2025-01-30,2025-01-31,1,0.012,178000,"['C-290','C-293']"
V-301,CrystalSupply Pro,2025-02-13,2025-02-14,1,0.009,98000,"['C-292']"
V-302,SpeedSupply Pro,2025-02-01,2025-02-02,1,0.011,70000,"['C-294']"
V-303,MasterForge Ultra,2025-01-25,2025-01-26,1,0.006,167000,"['C-295','C-298']"
V-304,DiamondSupply Ultra,2025-02-10,2025-02-11,1,0.014,78000,"['C-296']"
V-305,PrimeMaterials Pro,2025-01-28,2025-01-29,1,0.013,160000,"['C-297','C-300']"
V-306,TitanSupply Ultra,2025-02-15,2025-02-16,1,0.008,95000,"['C-299']"
V-307,VelocityMaterials Pro,2025-02-05,2025-02-06,1,0.01,74000,"['C-301']"
V-308,OptimalForge Pro,2025-01-20,2025-01-21,1,0.012,187000,"['C-302','C-305']"
V-309,MegaMaterials Pro,2025-02-08,2025-02-09,1,0.009,87000,"['C-303']"
V-310,NexGenForge Pro,2025-01-24,2025-01-25,1,0.011,171000,"['C-304','C-307']"
V-311,SuperiorForge Pro,2025-02-12,2025-03-07,23,0.131,245000,"['C-166','C-194','C-215','C-236','C-264','C-285','C-306']"
V-312,FlashMaterials Pro,2025-02-03,2025-02-04,1,0.014,69000,"['C-308']"
V-313,RockSolidSupply Ultra,2025-01-19,2025-01-20,1,0.007,196000,"['C-309','C-312']"
V-314,ZenithForge Pro,2025-02-06,2025-02-07,1,0.013,82000,"['C-310']"
V-315,PlatinumMaterials Pro,2025-01-27,2025-01-28,1,0.008,177000,"['C-311','C-314']"
V-316,ThunderMaterials Pro,2025-02-14,2025-02-15,1,0.01,99000,"['C-313']"
V-317,AgileMaterials Pro,2025-02-02,2025-02-03,1,0.012,66000,"['C-315']"
V-318,PowerForge Ultra,2025-01-26,2025-01-27,1,0.009,195000,"['C-316','C-319']"
V-319,QuantumForge Pro,2025-02-09,2025-02-10,1,0.011,84000,"['C-317']"
V-320,DynamicMaterials Pro,2025-01-23,2025-01-24,1,0.006,164000,"['C-318','C-321']"
V-321,InfiniteForge Pro,2025-02-11,2025-02-12,1,0.014,97000,"['C-320']"
V-322,BlazeMaterials Pro,2025-02-04,2025-02-05,1,0.013,77000,"['C-322']"
V-323,CoreForge Pro,2025-01-21,2025-01-22,1,0.008,186000,"['C-323','C-326']"
V-324,PeakMaterials Pro,2025-02-07,2025-02-08,1,0.01,90000,"['C-324']"
V-325,VanguardForge Pro,2025-01-30,2025-01-31,1,0.012,174000,"['C-325','C-328']"
V-326,OmegaForge Pro,2025-02-13,2025-02-14,1,0.009,100000,"['C-327']"
V-327,TurboMaterials Pro,2025-02-01,2025-02-02,1,0.011,72000,"['C-329']"
V-328,EliteForge Pro,2025-01-25,2025-01-26,1,0.007,197000,"['C-330','C-333']"
V-329,ProMaterials Pro,2025-02-10,2025-02-11,1,0.014,82000,"['C-331']"
V-330,MaxForge Ultra,2025-01-28,2025-01-29,1,0.013,179000,"['C-332','C-335']"
V-331,CrystalForge Pro,2025-02-15,2025-03-11,24,0.142,261000,"['C-194','C-215','C-236','C-264','C-285','C-306','C-334']"
V-332,SpeedForge Ultra,2025-02-05,2025-02-06,1,0.008,71000,"['C-336']"
V-333,MasterMaterials Pro,2025-01-20,2025-01-21,1,0.01,168000,"['C-337','C-340']"
V-334,DiamondForge Ultra,2025-02-08,2025-02-09,1,0.012,79000,"['C-338']"
V-335,PrimeForge Pro,2025-01-24,2025-01-25,1,0.009,161000,"['C-339','C-342']"
V-336,TitanForge Pro,2025-02-12,2025-02-13,1,0.011,96000,"['C-341']"
V-337,VelocityComponents Pro,2025-02-03,2025-02-04,1,0.006,75000,"['C-343']"
V-338,OptimalMaterials Pro,2025-01-19,2025-01-20,1,0.014,188000,"['C-344','C-347']"
V-339,MegaComponents Pro,2025-02-06,2025-02-07,1,0.013,88000,"['C-345']"
V-340,NexGenMaterials Pro,2025-01-27,2025-01-28,1,0.008,172000,"['C-346','C-349']"
V-341,SuperiorMaterials Ultra,2025-02-14,2025-02-15,1,0.01,101000,"['C-348']"
V-342,FlashComponents Pro,2025-02-02,2025-02-03,1,0.012,70000,"['C-350']"
V-343,RockSolidMaterials Pro,2025-01-26,2025-01-27,1,0.009,198000,"['C-351','C-354']"
V-344,ZenithMaterials Pro,2025-02-09,2025-02-10,1,0.011,83000,"['C-352']"
V-345,PlatinumSupply Ultra,2025-01-23,2025-01-24,1,0.007,178000,"['C-353','C-356']"
V-346,ThunderComponents Pro,2025-02-11,2025-02-26,15,0.086,229000,"['C-215','C-236','C-264','C-285','C-306','C-355']"
V-347,AgileComponents Pro,2025-02-04,2025-02-05,1,0.014,67000,"['C-357']"
V-348,PowerMaterials Pro,2025-01-21,2025-01-22,1,0.013,199000,"['C-358','C-361']"
V-349,QuantumMaterials Ultra,2025-02-07,2025-02-08,1,0.008,85000,"['C-359']"
V-350,DynamicComponents Pro,2025-01-30,2025-01-31,1,0.01,165000,"['C-360','C-363']"
V-351,InfiniteMaterials Pro,2025-02-13,2025-02-14,1,0.012,102000,"['C-362']"
V-352,BlazeComponents Pro,2025-02-01,2025-02-02,1,0.009,78000,"['C-364']"
V-353,CoreMaterials Ultra,2025-01-25,2025-01-26,1,0.011,187000,"['C-365','C-368']"
V-354,PeakComponents Pro,2025-02-10,2025-02-11,1,0.006,91000,"['C-366']"
V-355,VanguardMaterials Pro,2025-01-28,2025-01-29,1,0.014,175000,"['C-367','C-370']"
V-356,OmegaMaterials Pro,2025-02-15,2025-02-16,1,0.013,103000,"['C-369']"
V-357,TurboComponents Pro,2025-02-05,2025-02-06,1,0.008,73000,"['C-371']"
V-358,EliteMaterials Ultra,2025-01-20,2025-01-21,1,0.01,200000,"['C-372','C-375']"
V-359,ProComponents Pro,2025-02-08,2025-02-09,1,0.012,86000,"['C-373']"
V-360,MaxMaterials Pro,2025-01-24,2025-01-25,1,0.009,180000,"['C-374','C-377']"
V-361,CrystalMaterials Pro,2025-02-12,2025-03-09,25,0.151,273000,"['C-236','C-264','C-285','C-306','C-334','C-355','C-376']"
V-362,SpeedMaterials Pro,2025-02-03,2025-02-04,1,0.011,72000,"['C-378']"
V-363,MasterComponents Pro,2025-01-19,2025-01-20,1,0.007,169000,"['C-379','C-382']"
V-364,DiamondMaterials Pro,2025-02-06,2025-02-07,1,0.014,80000,"['C-380']"
V-365,PrimeComponents Ultra,2025-01-27,2025-01-28,1,0.013,162000,"['C-381','C-384']"
V-366,TitanMaterials Ultra,2025-02-14,2025-02-15,1,0.008,97000,"['C-383']"
V-367,VelocityForge Ultra,2025-02-02,2025-02-03,1,0.01,76000,"['C-385']"
V-368,OptimalComponents Pro,2025-01-26,2025-01-27,1,0.012,189000,"['C-386','C-389']"
V-369,MegaSupply Ultra,2025-02-09,2025-02-10,1,0.009,89000,"['C-387']"
V-370,NexGenComponents Ultra,2025-01-23,2025-01-24,1,0.011,173000,"['C-388','C-391']"
V-371,SuperiorComponents Pro,2025-02-11,2025-02-12,1,0.006,104000,"['C-390']"
V-372,FlashForge Ultra,2025-02-04,2025-02-05,1,0.014,71000,"['C-392']"
V-373,RockSolidSupply Mega,2025-01-21,2025-01-22,1,0.013,201000,"['C-393','C-396']"
V-374,ZenithComponents Pro,2025-02-07,2025-02-08,1,0.008,84000,"['C-394']"
V-375,PlatinumForge Ultra,2025-01-30,2025-01-31,1,0.01,179000,"['C-395','C-398']"
V-376,ThunderSupply Ultra,2025-02-13,2025-03-03,18,0.105,237000,"['C-264','C-285','C-306','C-334','C-355','C-376','C-397']"
V-377,AgileSupply Ultra,2025-02-01,2025-02-02,1,0.012,68000,"['C-399']"
V-378,PowerComponents Pro,2025-01-25,2025-01-26,1,0.009,202000,"['C-400','C-403']"
V-379,QuantumComponents Pro,2025-02-10,2025-02-11,1,0.011,87000,"['C-401']"
V-380,DynamicSupply Ultra,2025-01-28,2025-01-29,1,0.007,166000,"['C-402','C-405']"
V-381,InfiniteComponents Ultra,2025-02-15,2025-03-14,27,0.159,285000,"['C-285','C-306','C-334','C-355','C-376','C-397','C-404','C-417']"
V-382,BlazeSupply Pro,2025-02-05,2025-02-06,1,0.014,79000,"['C-406']"
V-383,CoreComponents Ultra,2025-01-20,2025-01-21,1,0.013,188000,"['C-407','C-410']"
V-384,PeakSupply Ultra,2025-02-08,2025-02-09,1,0.008,92000,"['C-408']"
V-385,VanguardComponents Pro,2025-01-24,2025-01-25,1,0.01,176000,"['C-409','C-412']"
V-386,OmegaComponents Ultra,2025-02-12,2025-02-13,1,0.012,105000,"['C-411']"
V-387,TurboSupply Ultra,2025-02-03,2025-02-04,1,0.009,74000,"['C-413']"
V-388,EliteComponents Ultra,2025-01-19,2025-01-20,1,0.011,203000,"['C-414','C-417']"
V-389,ProSupply Ultra,2025-02-06,2025-02-07,1,0.006,88000,"['C-415']"
V-390,MaxComponents Pro,2025-01-27,2025-01-28,1,0.014,181000,"['C-416','C-419']"
V-391,CrystalComponents Ultra,2025-02-14,2025-02-15,1,0.013,106000,"['C-418']"
