customer_id,name,usage_drop_pct,sentiment_score,ticket_volume_last_30d,last_ticket_sentiment,nps_score,contract_value,renewal_date
C-055,Prism Tech,15,0.13,4,neutral,30,119000,2025-06-11
C-056,Eclipse Labs,40,-0.67,13,very_negative,5,55000,2025-02-16
C-057,Momentum Corp,3,0.70,1,positive,59,221000,2025-12-13
C-058,Synergy Digital,24,-0.42,7,negative,18,72000,2025-04-28
C-059,Vertex Analytics,8,0.61,2,positive,55,187000,2025-09-19
C-060,Nova Systems,12,0.18,4,neutral,33,133000,2025-07-05
C-061,Summit Tech,35,-0.56,10,negative,10,63000,2025-03-22
C-062,Catalyst Labs,6,0.52,2,positive,50,174000,2025-10-14
C-063,Meridian Digital,21,-0.37,7,negative,22,75000,2025-05-23
C-064,Atlas Corp,4,0.68,1,positive,58,208000,2025-11-26
C-065,Ignition Systems,28,-0.47,9,negative,15,83000,2025-04-05
C-066,Nexus Analytics,10,0.23,3,neutral,35,129000,2025-06-30
C-067,Quantum Edge,46,-0.79,17,very_negative,2,49000,2025-01-24
C-068,Velocity Labs,5,0.45,1,positive,47,166000,2025-08-18
C-069,Enigma Tech,25,-0.43,8,negative,17,70000,2025-05-01
C-070,Polaris Systems,7,0.55,2,positive,52,179000,2025-10-03
C-071,Fusion Analytics,38,-0.62,12,very_negative,6,58000,2025-02-25
C-072,Infinite Labs,13,0.16,4,neutral,34,136000,2025-07-18
C-073,Beacon Digital,6,0.50,2,positive,49,173000,2025-09-09
C-074,Cypher Systems,22,-0.38,7,negative,20,76000,2025-05-14
C-075,Omega Corp,9,0.27,3,neutral,37,130000,2025-06-26
C-076,Genesis Tech,3,0.72,0,positive,60,230000,2025-12-22
C-077,Vortex Labs,32,-0.53,10,negative,13,66000,2025-03-31
C-078,Pioneer Systems,6,0.53,2,positive,51,183000,2025-10-19
C-079,Zenon Digital,18,-0.32,6,negative,23,80000,2025-05-27
C-080,Arcadia Analytics,8,0.64,1,positive,57,199000,2025-11-08
C-081,Nexus Wave,42,-0.71,14,very_negative,4,52000,2025-02-11
C-082,Stellar Systems,11,0.20,3,neutral,32,141000,2025-07-24
C-083,Quantum Labs,4,0.67,1,positive,58,217000,2025-12-16
C-084,Horizon Tech,26,-0.45,8,negative,16,73000,2025-04-19
C-085,Velocity Analytics,9,0.28,3,neutral,38,126000,2025-06-07
C-086,Titan Digital,36,-0.58,11,very_negative,8,61000,2025-03-11
C-087,Phoenix Systems,5,0.48,2,positive,48,169000,2025-09-02
C-088,Cascade Labs,19,-0.34,6,negative,21,77000,2025-05-19
C-089,Apex Tech,7,0.58,2,positive,54,193000,2025-10-25
C-090,Prism Systems,14,0.12,4,neutral,30,121000,2025-06-13
C-091,Eclipse Analytics,39,-0.65,12,very_negative,5,56000,2025-02-18
C-092,Momentum Labs,3,0.69,1,positive,59,223000,2025-12-10
C-093,Synergy Tech,23,-0.40,7,negative,19,74000,2025-04-30
C-094,Vertex Systems,8,0.62,2,positive,56,188000,2025-09-21
C-095,Nova Digital,12,0.19,4,neutral,33,135000,2025-07-07
C-096,Summit Labs,34,-0.54,10,negative,11,64000,2025-03-24
C-097,Catalyst Systems,6,0.51,2,positive,50,175000,2025-10-16
C-098,Meridian Tech,20,-0.36,6,negative,22,78000,2025-05-25
C-099,Atlas Labs,4,0.67,1,positive,58,209000,2025-11-28
C-100,Ignition Digital,27,-0.46,9,negative,15,84000,2025-04-07
C-101,Nexus Tech,10,0.24,3,neutral,36,128000,2025-07-02
C-102,Quantum Systems,45,-0.77,16,very_negative,2,50000,2025-01-26
C-103,Velocity Digital,5,0.46,1,positive,48,167000,2025-08-20
C-104,Enigma Labs,24,-0.41,8,negative,18,71000,2025-05-03
C-105,Polaris Tech,7,0.56,2,positive,52,180000,2025-10-05
C-106,Fusion Labs,37,-0.60,11,very_negative,7,59000,2025-02-27
C-107,Infinite Systems,13,0.17,4,neutral,34,137000,2025-07-20
C-108,Beacon Tech,6,0.49,2,positive,49,171000,2025-09-11
C-109,Cypher Labs,21,-0.37,7,negative,21,75000,2025-05-16
C-110,Omega Systems,9,0.26,3,neutral,37,132000,2025-06-28
C-111,Genesis Digital,2,0.74,0,positive,60,241000,2026-01-03
C-112,Vortex Tech,33,-0.54,10,negative,12,65000,2025-04-02
C-113,Pioneer Labs,6,0.54,2,positive,51,184000,2025-10-21
C-114,Zenon Tech,17,-0.31,5,negative,24,81000,2025-05-28
C-115,Arcadia Systems,8,0.65,1,positive,57,200000,2025-11-10
C-116,Nexus Digital,41,-0.69,13,very_negative,4,54000,2025-02-13
C-117,Stellar Labs,11,0.21,3,neutral,32,140000,2025-07-26
C-118,Quantum Tech,4,0.66,1,positive,58,216000,2025-12-18
C-119,Horizon Labs,25,-0.44,8,negative,17,72000,2025-04-21
C-120,Velocity Tech,9,0.29,3,neutral,38,127000,2025-06-09
C-121,Titan Labs,35,-0.57,11,very_negative,9,62000,2025-03-13
C-122,Phoenix Digital,5,0.47,2,positive,48,168000,2025-09-04
C-123,Cascade Systems,18,-0.33,6,negative,23,79000,2025-05-21
C-124,Apex Labs,7,0.59,2,positive,54,194000,2025-10-27
C-125,Prism Digital,15,0.14,4,neutral,31,122000,2025-06-15
C-126,Eclipse Tech,38,-0.63,12,very_negative,6,57000,2025-02-20
C-127,Momentum Systems,3,0.70,1,positive,59,224000,2025-12-12
C-128,Synergy Labs,22,-0.39,7,negative,20,73000,2025-05-02
C-129,Vertex Digital,8,0.63,2,positive,56,189000,2025-09-23
C-130,Nova Tech,12,0.18,4,neutral,33,134000,2025-07-09
C-131,Summit Systems,33,-0.53,10,negative,12,63000,2025-03-26
C-132,Catalyst Digital,6,0.52,2,positive,50,176000,2025-10-18
C-133,Meridian Labs,19,-0.35,6,negative,22,77000,2025-05-27
C-134,Atlas Systems,4,0.68,1,positive,58,210000,2025-11-30
C-135,Ignition Tech,26,-0.45,9,negative,16,85000,2025-04-09
C-136,Nexus Labs,10,0.23,3,neutral,35,129000,2025-07-04
C-137,Quantum Digital,44,-0.76,15,very_negative,3,51000,2025-02-01
C-138,Velocity Systems,5,0.45,1,positive,47,165000,2025-08-22
C-139,Enigma Systems,23,-0.40,7,negative,19,70000,2025-05-05
C-140,Polaris Labs,7,0.55,2,positive,52,181000,2025-10-07
C-141,Fusion Systems,36,-0.59,11,very_negative,8,60000,2025-03-01
C-142,Infinite Digital,13,0.16,4,neutral,34,138000,2025-07-22
C-143,Beacon Labs,6,0.50,2,positive,49,172000,2025-09-13
C-144,Cypher Digital,20,-0.36,6,negative,21,76000,2025-05-18
C-145,Omega Labs,9,0.27,3,neutral,37,131000,2025-06-30
C-146,Genesis Systems,3,0.73,0,positive,60,235000,2025-12-24
C-147,Vortex Systems,31,-0.52,10,negative,13,67000,2025-04-04
C-148,Pioneer Digital,6,0.53,2,positive,51,185000,2025-10-23
C-149,Zenon Labs,16,-0.30,5,negative,25,82000,2025-05-30
C-150,Arcadia Labs,8,0.64,1,positive,57,201000,2025-11-12
C-151,Nexus Systems,40,-0.68,13,very_negative,5,55000,2025-02-15
C-152,Stellar Digital,11,0.20,3,neutral,32,142000,2025-07-28
C-153,Quantum Labs Pro,4,0.67,1,positive,58,219000,2025-12-20
C-154,Horizon Systems,24,-0.42,8,negative,18,71000,2025-04-23
C-155,Velocity Labs Pro,9,0.28,3,neutral,38,126000,2025-06-11
C-156,Titan Systems,34,-0.55,10,negative,11,61000,2025-03-15
C-157,Phoenix Labs Pro,5,0.48,2,positive,48,170000,2025-09-06
C-158,Cascade Digital Pro,17,-0.32,5,negative,24,78000,2025-05-23
C-159,Apex Systems,7,0.58,2,positive,54,195000,2025-10-29
C-160,Prism Labs,14,0.13,4,neutral,30,123000,2025-06-17
C-161,Eclipse Systems,37,-0.61,11,very_negative,7,58000,2025-02-22
C-162,Momentum Digital,3,0.69,1,positive,59,225000,2025-12-14
C-163,Synergy Systems Pro,21,-0.38,7,negative,21,74000,2025-05-04
C-164,Vertex Labs,8,0.62,2,positive,56,190000,2025-09-25
C-165,Nova Labs,12,0.19,4,neutral,33,136000,2025-07-11
C-166,Summit Digital Pro,32,-0.52,10,negative,13,64000,2025-03-28
C-167,Catalyst Labs Pro,6,0.51,2,positive,50,177000,2025-10-20
C-168,Meridian Systems Pro,18,-0.34,6,negative,23,79000,2025-05-29
C-169,Atlas Digital,4,0.67,1,positive,58,211000,2025-12-02
C-170,Ignition Labs Pro,25,-0.44,8,negative,17,86000,2025-04-11
C-171,Nexus Analytics Pro,10,0.24,3,neutral,36,130000,2025-07-06
C-172,Quantum Wave,43,-0.74,14,very_negative,4,52000,2025-02-03
C-173,Velocity Corp Pro,5,0.46,1,positive,47,166000,2025-08-24
C-174,Enigma Digital Pro,22,-0.39,7,negative,20,72000,2025-05-07
C-175,Polaris Digital,7,0.56,2,positive,52,182000,2025-10-09
C-176,Fusion Digital,35,-0.58,11,very_negative,9,59000,2025-03-03
C-177,Infinite Tech Pro,13,0.17,4,neutral,34,139000,2025-07-24
C-178,Beacon Systems Pro,6,0.49,2,positive,49,173000,2025-09-15
C-179,Cypher Tech,19,-0.35,6,negative,22,77000,2025-05-20
C-180,Omega Digital,9,0.26,3,neutral,37,132000,2025-07-02
C-181,Genesis Labs Pro,2,0.74,0,positive,60,243000,2026-01-05
C-182,Vortex Labs Pro,30,-0.51,9,negative,14,68000,2025-04-06
C-183,Pioneer Systems Pro,6,0.54,2,positive,51,186000,2025-10-25
C-184,Zenon Systems Pro,15,-0.29,5,negative,26,83000,2025-06-01
C-185,Arcadia Digital,8,0.65,1,positive,57,202000,2025-11-14
C-186,Nexus Labs Pro,39,-0.66,12,very_negative,6,56000,2025-02-17
C-187,Stellar Tech Pro,11,0.21,3,neutral,32,143000,2025-07-30
C-188,Quantum Analytics,4,0.66,1,positive,58,220000,2025-12-22
C-189,Horizon Digital Pro,23,-0.41,7,negative,19,73000,2025-04-25
C-190,Velocity Edge,9,0.29,3,neutral,38,127000,2025-06-13
C-191,Titan Tech Pro,33,-0.54,10,negative,12,62000,2025-03-17
C-192,Phoenix Analytics,5,0.47,2,positive,48,169000,2025-09-08
C-193,Cascade Tech,16,-0.31,5,negative,25,80000,2025-05-25
C-194,Apex Digital Pro,7,0.59,2,positive,54,196000,2025-10-31
C-195,Prism Systems Pro,15,0.14,4,neutral,31,124000,2025-06-19
C-196,Eclipse Labs Pro,36,-0.60,11,very_negative,8,57000,2025-02-24
C-197,Momentum Tech Pro,3,0.70,1,positive,59,226000,2025-12-16
C-198,Synergy Digital Pro,20,-0.37,6,negative,22,75000,2025-05-06
C-199,Vertex Tech Pro,8,0.63,2,positive,56,191000,2025-09-27
C-200,Nova Systems Pro,12,0.18,4,neutral,33,137000,2025-07-13
C-201,Summit Tech Pro,31,-0.51,9,negative,14,65000,2025-03-30
C-202,Catalyst Analytics,6,0.52,2,positive,50,178000,2025-10-22
C-203,Meridian Digital Pro,17,-0.33,5,negative,24,78000,2025-05-31
C-204,Atlas Labs Pro,4,0.68,1,positive,58,212000,2025-12-04
C-205,Ignition Systems Pro,24,-0.43,8,negative,18,87000,2025-04-13
C-206,Nexus Edge,10,0.23,3,neutral,35,131000,2025-07-08
C-207,Quantum Prime,42,-0.72,14,very_negative,4,53000,2025-02-05
C-208,Velocity Wave,5,0.45,1,positive,47,167000,2025-08-26
C-209,Enigma Labs Pro,21,-0.38,7,negative,21,71000,2025-05-09
C-210,Polaris Systems Pro,7,0.55,2,positive,52,183000,2025-10-11
C-211,Fusion Tech Pro,34,-0.56,10,negative,11,60000,2025-03-05
C-212,Infinite Labs Pro,13,0.16,4,neutral,34,140000,2025-07-26
C-213,Beacon Digital Pro,6,0.50,2,positive,49,174000,2025-09-17
C-214,Cypher Labs Pro,18,-0.34,6,negative,23,76000,2025-05-22
C-215,Omega Tech,9,0.27,3,neutral,37,133000,2025-07-04
C-216,Genesis Analytics,3,0.73,0,positive,60,237000,2025-12-26
C-217,Vortex Digital Pro,29,-0.49,9,negative,15,69000,2025-04-08
C-218,Pioneer Tech Pro,6,0.53,2,positive,51,187000,2025-10-27
C-219,Zenon Digital Pro,14,-0.28,4,negative,27,84000,2025-06-03
C-220,Arcadia Systems Pro,8,0.64,1,positive,57,203000,2025-11-16
C-221,Nexus Prime Pro,38,-0.64,12,very_negative,7,57000,2025-02-19
C-222,Stellar Systems Pro,11,0.20,3,neutral,32,144000,2025-08-01
C-223,Quantum Forge,4,0.67,1,positive,58,221000,2025-12-24
C-224,Horizon Labs Pro,22,-0.40,7,negative,20,74000,2025-04-27
C-225,Velocity Prime,9,0.28,3,neutral,38,128000,2025-06-15
C-226,Titan Analytics,32,-0.53,10,negative,13,63000,2025-03-19
C-227,Phoenix Tech Pro,5,0.48,2,positive,48,170000,2025-09-10
C-228,Cascade Labs Pro,15,-0.30,5,negative,26,81000,2025-05-27
C-229,Apex Labs Pro,7,0.58,2,positive,54,197000,2025-11-02
C-230,Prism Tech Pro,15,0.13,4,neutral,30,125000,2025-06-21
C-231,Eclipse Digital Pro,35,-0.59,11,very_negative,9,58000,2025-02-26
C-232,Momentum Labs Pro,3,0.69,1,positive,59,227000,2025-12-18
C-233,Synergy Tech Pro,19,-0.36,6,negative,23,76000,2025-05-08
C-234,Vertex Systems Pro,8,0.62,2,positive,56,192000,2025-09-29
C-235,Nova Digital Pro,12,0.19,4,neutral,33,138000,2025-07-15
C-236,Summit Labs Pro,30,-0.50,9,negative,15,66000,2025-04-01
C-237,Catalyst Systems Pro,6,0.51,2,positive,50,179000,2025-10-24
C-238,Meridian Tech Pro,16,-0.32,5,negative,25,79000,2025-06-02
C-239,Atlas Systems Pro,4,0.67,1,positive,58,213000,2025-12-06
C-240,Ignition Digital Pro,23,-0.42,8,negative,19,88000,2025-04-15
C-241,Nexus Forge,10,0.24,3,neutral,36,132000,2025-07-10
C-242,Quantum Nexus,41,-0.70,13,very_negative,5,54000,2025-02-07
C-243,Velocity Forge,5,0.46,1,positive,47,168000,2025-08-28
C-244,Enigma Systems Pro,20,-0.37,6,negative,22,72000,2025-05-11
C-245,Polaris Labs Pro,7,0.56,2,positive,52,184000,2025-10-13
C-246,Fusion Labs Pro,33,-0.55,10,negative,12,61000,2025-03-07
C-247,Infinite Systems Pro,13,0.17,4,neutral,34,141000,2025-07-28
C-248,Beacon Tech Pro,6,0.49,2,positive,49,175000,2025-09-19
C-249,Cypher Systems Pro,17,-0.33,5,negative,24,77000,2025-05-24
C-250,Omega Labs Pro,9,0.26,3,neutral,37,134000,2025-07-06
C-251,Genesis Digital Pro,2,0.74,0,positive,60,245000,2026-01-07
C-252,Vortex Tech Pro,28,-0.48,9,negative,16,70000,2025-04-10
C-253,Pioneer Labs Pro,6,0.54,2,positive,51,188000,2025-10-29
C-254,Zenon Tech Pro,13,-0.27,4,negative,28,85000,2025-06-05
C-255,Arcadia Labs Pro,8,0.65,1,positive,57,204000,2025-11-18
C-256,Nexus Wave Pro,37,-0.62,11,very_negative,8,58000,2025-02-21
C-257,Stellar Labs Pro,11,0.21,3,neutral,32,145000,2025-08-03
C-258,Quantum Edge Pro,4,0.66,1,positive,58,222000,2025-12-26
C-259,Horizon Systems Pro,21,-0.39,7,negative,21,75000,2025-04-29
C-260,Velocity Nexus,9,0.29,3,neutral,38,129000,2025-06-17
C-261,Titan Digital Pro,31,-0.52,9,negative,14,64000,2025-03-21
C-262,Phoenix Labs Ultra,5,0.47,2,positive,48,171000,2025-09-12
C-263,Cascade Systems Pro,14,-0.29,4,negative,27,82000,2025-05-29
C-264,Apex Tech Pro,7,0.59,2,positive,54,198000,2025-11-04
C-265,Prism Labs Pro,15,0.14,4,neutral,31,126000,2025-06-23
C-266,Eclipse Tech Pro,34,-0.57,10,negative,11,59000,2025-02-28
C-267,Momentum Systems Pro,3,0.70,1,positive,59,228000,2025-12-20
C-268,Synergy Labs Pro,18,-0.35,6,negative,24,77000,2025-05-10
C-269,Vertex Digital Pro,8,0.63,2,positive,56,193000,2025-10-01
C-270,Nova Tech Pro,12,0.18,4,neutral,33,139000,2025-07-17
C-271,Summit Systems Pro,29,-0.49,9,negative,16,67000,2025-04-03
C-272,Catalyst Digital Pro,6,0.52,2,positive,50,180000,2025-10-26
C-273,Meridian Labs Pro,15,-0.31,5,negative,26,80000,2025-06-04
C-274,Atlas Digital Pro,4,0.68,1,positive,58,214000,2025-12-08
C-275,Ignition Tech Pro,22,-0.41,7,negative,20,89000,2025-04-17
C-276,Nexus Analytics Ultra,10,0.23,3,neutral,35,133000,2025-07-12
C-277,Quantum Pulse,40,-0.68,13,very_negative,6,55000,2025-02-09
C-278,Velocity Pulse,5,0.45,1,positive,47,169000,2025-08-30
C-279,Enigma Digital Ultra,19,-0.36,6,negative,23,73000,2025-05-13
C-280,Polaris Digital Pro,7,0.55,2,positive,52,185000,2025-10-15
C-281,Fusion Systems Pro,32,-0.54,10,negative,13,62000,2025-03-09
C-282,Infinite Digital Pro,13,0.16,4,neutral,34,142000,2025-07-30
C-283,Beacon Labs Pro,6,0.50,2,positive,49,176000,2025-09-21
C-284,Cypher Digital Pro,16,-0.32,5,negative,25,78000,2025-05-26
C-285,Omega Systems Pro,9,0.27,3,neutral,37,135000,2025-07-08
C-286,Genesis Systems Pro,3,0.73,0,positive,60,239000,2025-12-28
C-287,Vortex Labs Ultra,27,-0.47,8,negative,17,71000,2025-04-12
C-288,Pioneer Digital Pro,6,0.53,2,positive,51,189000,2025-10-31
C-289,Zenon Labs Pro,12,-0.26,4,neutral,29,86000,2025-06-07
C-290,Arcadia Systems Ultra,8,0.64,1,positive,57,205000,2025-11-20
C-291,Nexus Core,36,-0.60,11,very_negative,9,59000,2025-02-23
C-292,Stellar Digital Pro,11,0.20,3,neutral,32,146000,2025-08-05
C-293,Quantum Core Pro,4,0.67,1,positive,58,223000,2025-12-28
C-294,Horizon Digital Ultra,20,-0.38,6,negative,22,76000,2025-05-01
C-295,Velocity Core,9,0.28,3,neutral,38,130000,2025-06-19
C-296,Titan Labs Pro,30,-0.51,9,negative,15,65000,2025-03-23
C-297,Phoenix Systems Ultra,5,0.48,2,positive,48,172000,2025-09-14
C-298,Cascade Digital Ultra,13,-0.28,4,negative,28,83000,2025-05-31
C-299,Apex Systems Pro,7,0.58,2,positive,54,199000,2025-11-06
C-300,Prism Digital Pro,15,0.13,4,neutral,30,127000,2025-06-25
C-301,Eclipse Labs Ultra,33,-0.56,10,negative,12,60000,2025-03-02
C-302,Momentum Digital Pro,3,0.69,1,positive,59,229000,2025-12-22
C-303,Synergy Systems Ultra,17,-0.34,5,negative,25,78000,2025-05-12
C-304,Vertex Labs Pro,8,0.62,2,positive,56,194000,2025-10-03
C-305,Nova Labs Pro,12,0.19,4,neutral,33,140000,2025-07-19
C-306,Summit Digital Ultra,28,-0.48,9,negative,17,68000,2025-04-05
C-307,Catalyst Labs Ultra,6,0.51,2,positive,50,181000,2025-10-28
C-308,Meridian Systems Ultra,14,-0.30,4,negative,27,81000,2025-06-06
C-309,Atlas Labs Ultra,4,0.67,1,positive,58,215000,2025-12-10
C-310,Ignition Labs Ultra,21,-0.40,7,negative,21,90000,2025-04-19
C-311,Nexus Pulse,10,0.24,3,neutral,36,134000,2025-07-14
C-312,Quantum Zen,39,-0.66,12,very_negative,7,56000,2025-02-11
C-313,Velocity Zen,5,0.46,1,positive,47,170000,2025-09-01
C-314,Enigma Tech Ultra,18,-0.35,6,negative,24,74000,2025-05-15
C-315,Polaris Tech Ultra,7,0.56,2,positive,52,186000,2025-10-17
C-316,Fusion Digital Pro,31,-0.53,9,negative,14,63000,2025-03-11
C-317,Infinite Tech Ultra,13,0.17,4,neutral,34,143000,2025-08-01
C-318,Beacon Systems Ultra,6,0.49,2,positive,49,177000,2025-09-23
C-319,Cypher Labs Ultra,15,-0.31,5,negative,26,79000,2025-05-28
C-320,Omega Digital Pro,9,0.26,3,neutral,37,136000,2025-07-10
C-321,Genesis Tech Ultra,2,0.74,0,positive,60,247000,2026-01-09
C-322,Vortex Systems Ultra,26,-0.46,8,negative,18,72000,2025-04-14
C-323,Pioneer Systems Ultra,6,0.54,2,positive,51,190000,2025-11-02
C-324,Zenon Systems Ultra,11,-0.25,3,neutral,30,87000,2025-06-09
C-325,Arcadia Digital Ultra,8,0.65,1,positive,57,206000,2025-11-22
C-326,Nexus Zen,35,-0.59,11,very_negative,10,60000,2025-02-25
C-327,Stellar Tech Ultra,11,0.21,3,neutral,32,147000,2025-08-07
C-328,Quantum Matrix,4,0.66,1,positive,58,224000,2025-12-30
C-329,Horizon Labs Ultra,19,-0.37,6,negative,23,77000,2025-05-03
C-330,Velocity Matrix,9,0.29,3,neutral,38,131000,2025-06-21
C-331,Titan Systems Ultra,29,-0.50,9,negative,16,66000,2025-03-25
C-332,Phoenix Digital Ultra,5,0.47,2,positive,48,173000,2025-09-16
C-333,Cascade Tech Pro,12,-0.27,4,neutral,29,84000,2025-06-02
C-334,Apex Digital Ultra,7,0.59,2,positive,54,200000,2025-11-08
C-335,Prism Systems Ultra,15,0.14,4,neutral,31,128000,2025-06-27
C-336,Eclipse Systems Ultra,32,-0.55,10,negative,13,61000,2025-03-04
C-337,Momentum Tech Ultra,3,0.70,1,positive,59,230000,2025-12-24
C-338,Synergy Digital Ultra,16,-0.33,5,negative,26,79000,2025-05-14
C-339,Vertex Tech Ultra,8,0.63,2,positive,56,195000,2025-10-05
C-340,Nova Systems Ultra,12,0.18,4,neutral,33,141000,2025-07-21
C-341,Summit Tech Ultra,27,-0.47,8,negative,18,69000,2025-04-07
C-342,Catalyst Systems Ultra,6,0.52,2,positive,50,182000,2025-10-30
C-343,Meridian Digital Ultra,13,-0.29,4,negative,28,82000,2025-06-08
C-344,Atlas Systems Ultra,4,0.68,1,positive,58,216000,2025-12-12
C-345,Ignition Systems Ultra,20,-0.39,7,negative,22,91000,2025-04-21
C-346,Nexus Matrix,10,0.23,3,neutral,35,135000,2025-07-16
C-347,Quantum Apex,38,-0.64,12,very_negative,8,57000,2025-02-13
C-348,Velocity Apex,5,0.45,1,positive,47,171000,2025-09-03
C-349,Enigma Labs Ultra,17,-0.34,5,negative,25,75000,2025-05-17
C-350,Polaris Labs Ultra,7,0.55,2,positive,52,187000,2025-10-19
C-351,Fusion Tech Ultra,30,-0.52,9,negative,15,64000,2025-03-13
C-352,Infinite Labs Ultra,13,0.16,4,neutral,34,144000,2025-08-03
C-353,Beacon Digital Ultra,6,0.50,2,positive,49,178000,2025-09-25
C-354,Cypher Systems Ultra,14,-0.30,4,negative,27,80000,2025-05-30
C-355,Omega Tech Pro,9,0.27,3,neutral,37,137000,2025-07-12
C-356,Genesis Labs Ultra,3,0.73,0,positive,60,241000,2026-01-01
C-357,Vortex Digital Ultra,25,-0.45,8,negative,19,73000,2025-04-16
C-358,Pioneer Tech Ultra,6,0.53,2,positive,51,191000,2025-11-04
C-359,Zenon Digital Ultra,10,-0.24,3,neutral,31,88000,2025-06-11
C-360,Arcadia Labs Ultra,8,0.64,1,positive,57,207000,2025-11-24
C-361,Nexus Apex,34,-0.57,10,negative,11,61000,2025-02-27
C-362,Stellar Systems Ultra,11,0.20,3,neutral,32,148000,2025-08-09
C-363,Quantum Flux,4,0.67,1,positive,58,225000,2026-01-01
C-364,Horizon Tech Ultra,18,-0.36,6,negative,24,78000,2025-05-05
C-365,Velocity Flux,9,0.28,3,neutral,38,132000,2025-06-23
C-366,Titan Digital Ultra,28,-0.49,9,negative,17,67000,2025-03-27
C-367,Phoenix Labs Mega,5,0.48,2,positive,48,174000,2025-09-18
C-368,Cascade Labs Ultra,11,-0.26,3,neutral,30,85000,2025-06-04
C-369,Apex Labs Ultra,7,0.58,2,positive,54,201000,2025-11-10
C-370,Prism Tech Ultra,15,0.13,4,neutral,30,129000,2025-06-29
